code;parent;name;inclusion;exclusion;reference
C18.3;C18;Flexura hepatica;Rechte Kolonflexur;;
C18.4;C18;Colon transversum;Querkolon;;
C18.5;C18;Flexura lienalis coli;Linke Kolonflexur;;
C18.6;C18;Colon descendens;Linkes Kolon;;
C18.7;C18;Colon sigmoideum;Flexura sigmoidea coli;;
C18.8;C18;Kolon; mehrere Teilbereiche überlappend;;;
C18.9;C18;Colon;Dickdarm (Exkl.: Rektum o.n.A.C20.9 und rektosigmoidaler Übergang C19.9);;
C19;C15-C26;Rektosigmoidaler Übergang;;;
C19.9;C19;Rektosigmoidaler Übergang;Kolon; am rektosigmoidalen Übergang;;
C20;C15-C26;Rektum;;;
C20.9;C20;Rektum o.n.A.;Rektumampulle;;
C21;C15-C26;Analkanal und Anus;;;
C21.0;C21;Anus o.n.A.;;Haut am Anus und perianale HautC44.5;
C21.1;C21;Analkanal;Analsphinkter;;
C21.2;C21;Kloakenregion;;;
C21.8;C21;Rektum; Anus und Analkanal; mehrere Bereiche überlappend;Anorektaler Übergang;;
C22;C15-C26;Leber und intrahepatische Gallengänge;;;
C22.0;C22;Leber;Hepatisch o.n.A.;;
C22.1;C22;Intrahepatische Gallengänge;Cholangioli;;
C23;C15-C26;Gallenblase;;;
C23.9;C23;Gallenblase;;;
C24;C15-C26;Sonstige und nicht näher bezeichnete Teile der Gallenwege;;;
C24.0;C24;Extrahepatischer Gallengang;Gallengang o.n.A.;;
C24.1;C24;Ampulla Vateri;Periampullär;;
C24.8;C24;Gallenwege; mehrere Bereiche überlappend;Intrahepatische und extrahepatische Gallengänge (siehe Anmerkung am Anfang des Abschnittes Topographie);;
C24.9;C24;Gallenwege o.n.A.;;;
C25;C15-C26;Pankreas;;;
C25.0;C25;Pankreaskopf;;;
C25.1;C25;Pankreaskörper;;;
C25.2;C25;Pankreasschwanz;;;
C25.3;C25;Ductus pancreaticus;Ductus Wirsungi;;
C25.4;C25;Pankreas-Inselzellen;Endokriner Drüsenanteil des Pankreas;;
C25.7;C25;Sonstige näher bezeichnete Teile des Pankreas;;;
C25.8;C25;Pankreas; mehrere Teilbereiche überlappend;;;
C25.9;C25;Pankreas o.n.A.;;;
C26;C15-C26;Sonstiger oder mangelhaft bezeichneter Sitz innerhalb der Verdauungsorgane;;;
C26.0;C26;Intestinaltrakt o.n.A.;Darm o.n.A.;;
C26.8;C26;Verdauungssystem; mehrere Bereiche überlappend;;;
C26.9;C26;Gastrointestinaltrakt o.n.A.;Verdauungsorgane o.n.A.;;
C30;C30-C39;Nasenhöhle und Mittelohr;;;
C30.0;C30;Nasenhöhle;Innere Nase;Nase o.n.A.C76.0;
C30.1;C30;Mittelohr;Antrum mastoideum;;
C31;C30-C39;Nasennebenhöhlen;;;
C31.0;C31;Sinus maxillaris;Highmore-Höhle;;
C31.1;C31;Sinus ethmoidalis;Labyrinthus ethmoidalis;;
C31.2;C31;Sinus frontalis;Stirnhöhle;;
C31.3;C31;Sinus sphenoidalis;Keilbeinhöhle;;
C31.8;C31;Nasennebenhöhlen; mehrere Teilbereiche überlappend;;;
C31.9;C31;Nasennebenhöhlen o.n.A.;Nasennebenhöhle;;
C32;C30-C39;Larynx;;;
C32.0;C32;Glottis;Larynx-Kommissur;;
C32.1;C32;Supraglottis;Epiglottis o.n.A. (Exkl.: Vorderfläche der Epiglottis [Kehldeckel]C10.1);;
C32.2;C32;Subglottis;;;
C32.3;C32;Larynxknorpel;Cartilago arytaenoidea;;
C32.8;C32;Larynx; mehrere Teilbereiche überlappend;;;
C32.9;C32;Kehlkopf o.n.A.;;;
C33;C30-C39;Trachea;;;
C33.9;C33;Trachea;;;
C34;C30-C39;Bronchus und Lunge;;;
C34.0;C34;Hauptbronchus;Carina;;
C34.1;C34;Lungenoberlappen;Lingula;;
C34.2;C34;Lungenmittellappen;Mittellappenbronchus;;
C34.3;C34;Lungenunterlappen;Unterlappenbronchus;;
C34.8;C34;Lunge; mehrere Teilbereiche überlappend;;;
C34.9;C34;Lunge o.n.A.;Bronchial o.n.A.;;
C37;C30-C39;Thymus;;;
C37.9;C37;Thymus;;;
C38;C30-C39;Herz; Mediastinum und Pleura;;;
C38.0;C38;Herz;Endokard;;
C38.1;C38;Vorderes Mediastinum;;;
C38.2;C38;Hinteres Mediastinum;;;
C38.3;C38;Mediastinum o.n.A.;;;
C38.4;C38;Pleura o.n.A.;Pleura parietalis;;
C38.8;C38;Herz; Mediastinum und Pleura; mehrere Teilbereiche überlappend;;;
C39;C30-C39;Sonstiger oder mangelhaft bezeichneter Sitz innerhalb der Atemwege [Respirationstrakt] und intrathorakaler Organe;;;
C39.0;C39;Obere Atemwege o.n.A.;Oberer Respirationstrakt o.n.A.;;
C39.8;C39;Atemwege [Respirationstrakt] und intrathorakale Organe; mehrere Bereiche überlappend;;;
C39.9;C39;Mangelhaft bezeichneter Sitz innerhalb der Atmungsorgane;Respirationstrakt o.n.A.;;
C40;C40-C41;Knochen; Gelenke und Gelenkknorpel der Extremitäten;;;
C40.0;C40;Lange Knochen von Arm und Schulter und zugehörige Gelenke;Akromioklavikulargelenk;;
C40.1;C40;Kurze Knochen der oberen Extremitäten und zugehörige Gelenke;Daumenknochen;;
C40.2;C40;Lange Knochen der unteren Extremitäten und zugehörige Gelenke;Beinknochen;;
C40.3;C40;Kurze Knochen der unteren Extremitäten und zugehörige Gelenke;Fußknochen;;
C40.8;C40;Knochen; Gelenke und Gelenkknorpel der Extremitäten; mehrere Teilbereiche überlappend;;;
C40.9;C40;Knochen einer Extremität o.n.A.;Gelenk einer Extremität o.n.A.;;
C41;C40-C41;Knochen; Gelenke und Gelenkknorpel sonstiger und nicht näher bezeichneter Lokalisationen;;;
C41.0;C41;Knochen des Hirn- und Gesichtsschädels und zugehörige Gelenke;Calvaria;MandibulaC41.1;
C41.1;C41;Mandibula;Kieferknochen o.n.A.;;
C41.2;C41;Wirbelsäule;Atlas;Os sacrum und Os coccygeum [Kreuzbein und Steißbein]C41.4;
C41.3;C41;Rippen; Sternum; Klavikula und zugehörige Gelenke;Kostovertebralgelenk;;
C41.4;C41;Beckenknochen; Kreuzbein; Steißbein und zugehörige Gelenke;Azetabulum;;
C41.8;C41;Knochen; Gelenke und Gelenkknorpel; mehrere Bereiche überlappend;;;
C41.9;C41;Knochen o.n.A.;Gelenk o.n.A.;;
C42;C42-C42;Hämatopoetisches und retikuloendotheliales System;;;
C42.0;C42;Blut;;;
C42.1;C42;Knochenmark;;;
C42.2;C42;Milz;;;
C42.3;C42;Retikuloendotheliales System o.n.A.;;;
C42.4;C42;Hämatopoetisches System o.n.A.;;;
C44;C44-C44;Haut;;Haut am PenisC60.9;
C44.0;C44;Lippenhaut o.n.A.;Äußere Haut der Oberlippe;;
C44.1;C44;Augenlid;Lid o.n.A.;;
C44.2;C44;Äußeres Ohr;Auricula o.n.A.;;
C44.3;C44;Haut sonstiger und nicht näher bezeichneter Teile des Gesichtes;AugenbraueBraue;;
C44.4;C44;Behaarte Kopfhaut und Haut am Hals;Behaarte KopfhautKopfschwarte o.n.A.;;
C44.5;C44;Haut am Stamm;Haut vonAbdomen;;
C44.6;C44;Haut der oberen Extremitäten und der Schulter;Fingernagel;;
C44.7;C44;Haut der unteren Extremität und der Hüfte;Fußsohle;;
C44.8;C44;Haut; mehrere Teilbereiche überlappend;;;
C44.9;C44;Haut o.n.A.;;Haut am Penis C60.9;
C47;C47-C47;Periphere Nerven und autonomes Nervensystem;Autonomes Nervensystem;;
C47.0;C47;Periphere Nerven und autonomes Nervensystem des Kopfes; des Gesichtes und des Halses;Periphere Nerven und autonomes Nervensystem von (siehe Liste unter C47)Fossa pterygoidea;Periphere Nerven und autonomes Nervensystem der OrbitaC69.6;
C47.1;C47;Periphere Nerven und autonomes Nervensystem der oberen Extremität und der Schulter;Armnerv;;
C47.2;C47;Periphere Nerven und autonomes Nervensystem der unteren Extremität und der Hüfte;N. femoralis;;
C47.3;C47;Periphere Nerven und autonomes Nervensystem des Thorax;Interkostalnerven;;
C47.4;C47;Periphere Nerven und autonomes Nervensystem des Abdomens;Periphere Nerven und autonomes Nervensystem von (siehe Liste unter C47)Bauchwand;;
C47.5;C47;Periphere Nerven und autonomes Nervensystem des Beckens;N. sacralis;;
C47.6;C47;Periphere Nerven und autonomes Nervensystem des Stammes;N. lumbalis;;
C47.8;C47;Periphere Nerven und autonomes Nervensystem; mehrere Teilbereiche überlappend;;;
C47.9;C47;Autonomes Nervensystem o.n.A.;Ganglion o.n.A.;;
C48;C48-C48;Retroperitoneum und Peritoneum;;;
C48.0;C48;Retroperitoneum;Periadrenales Gewebe;;
C48.1;C48;Näher bezeichnete Teile des Peritoneums;Excavatio rectouterinaDouglas-Raum (siehe Anmerkung am Anfang des Abschnittes Topographie);;
C48.2;C48;Peritoneum o.n.A.;Peritonealhöhle;;
C48.8;C48;Retroperitoneum und Peritoneum; mehrere Teilbereiche überlappend;;;
C49;C49-C49;Bindegewebe; Subkutangewebe und sonstige Weichteile;Aponeurosen;;
C49.0;C49;Bindegewebe; Subkutangewebe und sonstige Weichteile des Kopfes; des Gesichtes und des Halses;A. carotis;Bindegewebe der Orbita C69.6;
C49.1;C49;Bindegewebe; Subkutangewebe und sonstige Weichteile der oberen Extremität und der Schulter;A. radialis;;
C49.2;C49;Bindegewebe; Subkutangewebe und sonstige Weichteile der unteren Extremität und der Hüfte;A. femoralis;;
C49.3;C49;Bindegewebe; Subkutangewebe und sonstige Weichteile des Thorax;A. axillaris;Herz und MediastinumC38.-;
C49.4;C49;Bindegewebe; Subkutangewebe und sonstige Weichteilgewebe des Abdomen;A. coeliaca;;
C49.5;C49;Bindegewebe; Subkutangewebe und sonstige Weichteile des Beckens;A. iliaca;;
C49.6;C49;Bindegewebe; Subkutangewebe und sonstige Weichteile des Stammes o.n.A.;Bindegewebe; Subkutangewebe und sonstige Weichteile von (siehe Liste unter C49)Flanke;;
C49.8;C49;Bindegewebe; Subkutangewebe und sonstige Weichteile; mehrere Bereiche überlappend;;;
C49.9;C49;Bindegewebe; Subkutangewebe und sonstige Weichteile o.n.A.;Aponeurose o.n.A.;;
C50;C50-C50;Brust [Mamma];;Haut der BrustC44.5;
C50.0;C50;Mamille;Areola;;
C50.1;C50;Zentraler Drüsenkörper der Brust;Zentraler Drüsenkörper der Mamma;;
C50.2;C50;Oberer innerer Quadrant der Brust;Oberer innerer Quadrant der Mamma;;
C50.3;C50;Unterer innerer Quadrant der Brust;Unterer innerer Quadrant der Mamma;;
C50.4;C50;Oberer äußerer Quadrant der Brust;Oberer äußerer Quadrant der Mamma;;
C50.5;C50;Unterer äußerer Quadrant der Brust;Unterer äußerer Quadrant der Mamma;;
C50.6;C50;Recessus axillaris der Brust;Recessus axillaris der Mamma;;
C50.8;C50;Brust; mehrere Teilbereiche überlappend;Mamma; mehrere Teilbereiche überlappend;;
C50.9;C50;Brust o.n.A.;Brustdrüse;;
C51;C51-C58;Vulva;;;
C51.0;C51;Labium majus;Labia majora o.n.A.;;
C51.1;C51;Labium minus;Labia minora;;
C51.2;C51;Klitoris;;;
C51.8;C51;Vulva; mehrere Teilbereiche überlappend;;;
C51.9;C51;Vulva o.n.A.;Äußeres weibliches Genitale;;
C52;C51-C58;Vagina;;;
C52.9;C52;Vagina o.n.A.;Fornix vaginae;;
C53;C51-C58;Cervix uteri;;;
C53.0;C53;Endozervix;Innerer Muttermund;;
C53.1;C53;Ektozervix;Äußerer Muttermund;;
C53.8;C53;Cervix uteri; mehrere Teilbereiche überlappend;Cervixstumpf;;
C53.9;C53;Cervix uteri;Cervix uteri o.n.A.;;
C54;C51-C58;Corpus uteri;;;
C54.0;C54;Isthmus uteri;Unteres Uterinsegment;;
C54.1;C54;Endometrium;Glandulae uterinae;;
C54.2;C54;Myometrium;;;
C54.3;C54;Fundus uteri;;;
C54.8;C54;Corpus uteri; mehrere Teilbereiche überlappend;;;
C54.9;C54;Corpus uteri;Uteruskörper;;
C55;C51-C58;Uterus o.n.A.;;;
C55.9;C55;Uterus o.n.A.;Uterin o.n.A.;;
C56;C51-C58;Ovar;;;
C56.9;C56;Ovar;;;
C57;C51-C58;Sonstige und nicht näher bezeichnete Teile der weiblichen Geschlechtsorgane;;;
C57.0;C57;Eileiter;Tubae uterinae;;
C57.1;C57;Ligamentum latum uteri;Mesovarium;;
C57.2;C57;Ligamentum rotundum;;;
C57.3;C57;Parametrium;Ligamentum cardinale;;
C57.4;C57;Weibliche Adnexe;Adnexe o.n.A.;;
C57.7;C57;Sonstige näher bezeichnete Teile der weiblichen Geschlechtsorgane;Mesonephros;;
C57.8;C57;Weibliche Geschlechtsorgane; mehrere Bereiche überlappend;Tube und Ovar;;
C57.9;C57;Weibliche Geschlechtsorgane o.n.A.;Weibliches Genitale o.n.A.;;
C58;C51-C58;Plazenta;;;
C58.9;C58;Plazenta;Eihäute;;
C60;C60-C63;Penis;;;
C60.0;C60;Präputium;Vorhaut;;
C60.1;C60;Glans penis;;;
C60.2;C60;Penisschaft;Corpus cavernosum;;
C60.8;C60;Penis; mehrere Teilbereiche überlappend;;;
C60.9;C60;Penis o.n.A.;;;
C61;C60-C63;Prostata;;;
C61.9;C61;Prostata;Prostata o.n.A.;;
C62;C60-C63;Testis;;;
C62.0;C62;Kryptorchider Hoden;Dystoper Hoden;;
C62.1;C62;Deszendierter Hoden;Hoden im Skrotum;;
C62.9;C62;Testis o.n.A.;Hoden o.n.A.;;
C63;C60-C63;Sonstige und nicht näher bezeichnete Teile der männlichen Geschlechtsorgane;;;
C63.0;C63;Nebenhoden;;;
C63.1;C63;Samenstrang;Ductus deferens;;
C63.2;C63;Skrotum o.n.A.;Skrotalhaut;;
C63.7;C63;Sonstige näher bezeichnete Teile der männlichen Geschlechtsorgane;Tunica vaginalis;;
C63.8;C63;Männliche Geschlechtsorgane; mehrere Bereiche überlappend;;;
C63.9;C63;Männliche Geschlechtsorgane o.n.A.;Männliches Genitale;;
C64;C64-C68;Niere;;;
C64.9;C64;Niere o.n.A.;Nierenparenchym;;
C65;C64-C68;Nierenbecken;;;
C65.9;C65;Nierenbecken;Pelvis renalis;;
C66;C64-C68;Ureter;;;
C66.9;C66;Ureter;;;
C67;C64-C68;Harnblase;;;
C67.0;C67;Trigonum vesicae;;;
C67.1;C67;Blasendach;;;
C67.2;C67;Laterale Harnblasenwand;;;
C67.3;C67;Vordere Harnblasenwand;;;
C67.4;C67;Hintere Harnblasenwand;;;
C67.5;C67;Harnblasenhals;Harnröhrenöffnung;;
C67.6;C67;Ostium ureteris;;;
C67.7;C67;Urachus;;;
C67.8;C67;Harnblase; mehrere Teilbereiche überlappend;;;
C67.9;C67;Blase o.n.A.;Blasenwand o.n.A.;;
C68;C64-C68;Sonstige und nicht näher bezeichnete Teile des Harntraktes;;;
C68.0;C68;Urethra;Cowper-Drüsen;;
C68.1;C68;Paraurethrale Drüse;;;
C68.8;C68;Harntrakt; mehrere Bereiche überlappend;;;
C68.9;C68;Harntrakt o.n.A.;;;
C69;C69-C72;Auge und Augenanhangsgebilde;;;
C69.0;C69;Konjunktiva;Bindehaut;;
C69.1;C69;Kornea o.n.A.;Limbus corneae;;
C69.2;C69;Retina;Netzhaut;;
C69.3;C69;Chorioidea;;;
C69.4;C69;Bulbus oculi;Augapfel;;
C69.5;C69;Tränendrüse;Ductus lacrimalis o.n.A.Ductus nasolacrimalis;;
C69.6;C69;Orbita o.n.A.;Autonomes Nervensystem der Orbita;;
C69.8;C69;Auge und Augenanhangsgebilde; mehrere Teilbereiche überlappend;;;
C69.9;C69;Auge o.n.A.;;;
C70;C69-C72;Meningen;;;
C70.0;C70;Hirnhäute;Arachnoidea encephali;;
C70.1;C70;Rückenmarkhäute;Arachnoidea spinalis;;
C70.9;C70;Meningen o.n.A.;Arachnoidea o.n.A.;;
C71;C69-C72;Gehirn;;;
C71.0;C71;Cerebrum;Basalganglien;;
C71.1;C71;Frontallappen;Polus frontalis;;
C71.2;C71;Temporallappen;Hippokampus;;
C71.3;C71;Parietallappen;;;
C71.4;C71;Okzipitallappen;Polus occipitalis;;
C71.5;C71;Ventrikel o.n.A.;Dritter Ventrikel o.n.A.;;
C71.6;C71;Kleinhirn o.n.A.;Cerebellum;;
C71.7;C71;Hirnstamm;Infratentorielle Hirnanteile o.n.A.;;
C71.8;C71;Gehirn; mehrere Teilbereiche überlappend;Corpus callosum;;
C71.9;C71;Gehirn o.n.A.;Hintere Schädelgrube;;
C72;C69-C72;Rückenmark; Hirnnerven und sonstige Teile des Zentralnervensystems;;Periphere Nerven und autonomes Nervensystem [sympatisch; parasympatisch und Ganglien]C47;
C72.0;C72;Rückenmark;Conus medullaris;;
C72.1;C72;Cauda equina;;;
C72.2;C72;N. olfactorius;;;
C72.3;C72;N. opticus;Chiasma opticum;;
C72.4;C72;N. acusticus;;;
C72.5;C72;Hirnnerven o.n.A.;N. abducens;;
C72.8;C72;Gehirn und andere Teile des Zentralnervensystems; mehrere Teilbereiche überlappend;;;
C72.9;C72;Nervensystem;Epidural;;
C73;C73-C75;Schilddrüse;;;
C73.9;C73;Schilddrüse;Schilddrüse o.n.A.;;
C74;C73-C75;Nebenniere;;;
C74.0;C74;Nebennierenrinde;;;
C74.1;C74;Nebennierenmark;;;
C74.9;C74;Nebenniere o.n.A.;Adrenal o.n.A.;;
C75;C73-C75;Sonstige endokrine Drüsen und verwandte Strukturen;;;
C75.0;C75;Nebenschilddrüse;;;
C75.1;C75;Hirnanhangsdrüse;Hypophysär;;
C75.2;C75;Ductus craniopharyngealis;;;
C75.3;C75;Glandula pinealis;;;
C75.4;C75;Glomus caroticum;;;
C75.5;C75;Glomus aorticum und sonstige Paraganglien;Corpus coccygeum;;
C75.8;C75;Endokrine Drüsen und verwandte Strukturen; mehrere Teilbereiche überlappend;Multiple endokrine DrüsenPluriglandulär;;
C75.9;C75;Endokrine Drüse o.n.A.;;;
C76;C76-C80;Sonstiger oder mangelhaft bezeichneter Sitz;;;
C76.0;C76;Kopf; Gesicht oder Hals o.n.A.;Halsregion o.n.A.;;
C76.1;C76;Thorax o.n.A.;Axilla o.n.A.;;
C76.2;C76;Abdomen o.n.A.;Bauchdecke o.n.A.;;
C76.3;C76;Becken o.n.A.;Beckenboden o.n.A.;;
C76.4;C76;Obere Extremität o.n.A.;Arm o.n.A.;;
C76.5;C76;Untere Extremität o.n.A.;Bein o.n.A.;;
C76.7;C76;Sonstiger mangelhaft bezeichneter Sitz;Flanke o.n.A.;;
C76.8;C76;Mangelhaft bezeichneter Sitz; mehrere Teilbereiche überlappend;;;
C77;C76-C80;Lymphknoten;;;
C77.0;C77;Lymphknoten des Kopfes; des Gesichtes und des Halses;Aurikulärer Lymphknoten;;
C77.1;C77;Intrathorakaler Lymphknoten;Bronchialer Lymphknoten;;
C77.2;C77;Intraabdominaler Lymphknoten;Abdominaler Lymphknoten;;
C77.3;C77;Lymphknoten der Achseln und Arme;Axillärer LymphknotenLn. axillares;;
C77.4;C77;Lymphknoten der Inguinalregion und des Beines;Cloquet-Lymphknoten;;
C77.5;C77;Beckenlymphknoten;Hypogastrische LymphknotenLn. hypogastrici;;
C77.8;C77;Lymphknoten mehrerer Regionen;;;
C77.9;C77;Lymphknoten o.n.A.;;;
C80;C76-C80;Unbekannte Primärlokalisation;;;
C80.9;C80;Unbekannte Primärlokalisation;;;
